State,q2,phi2,phi2_-pitopi,Phi_radians
1e,0.36,0,0,0
1t2,0.36,18,18,0.314
e2,0.36,36,36,0.628
3t2,0.36,54,54,0.942
3e,0.36,72,72,1.256
3t4,0.36,90,90,1.57
e4,0.36,108,108,1.884
5t4,0.36,126,126,2.198
5e,0.36,144,144,2.512
5t1,0.36,162,162,2.826
e1,0.36,180,180,3.14
2t1,0.36,198,-162,-2.826
2e,0.36,216,-144,-2.512
2t3,0.36,234,-126,-2.198
e3,0.36,252,-108,-1.884
4t3,0.36,270,-90,-1.57
4e,0.36,288,-72,-1.256
4t5,0.36,306,-54,-0.942
e5,0.36,324,-36,-0.628
1t5,0.36,342,-18,-0.314
